㔶	kong
坪值	piang zi
坪内	piang nyu
坪地	piang ti
坪坝	piang ba
坪塘	piang tong
坪寨	piang zai
坪山镇	piang san zen
坪林	piang lin
坪林乡	piang lin xiong
坪石	piang xia
坪石乡	piang xia xiong
坫	qin
坭	mi
坯	pi
坯子	pi zu
坯布	pi bu
坯料	pi lieu
坯胎	pi toi
坳	ngau
坷	ko
坷垃	ko la
坻	di
垂下	qyu ha
垂下去	qyu ha qie
垂下来	qyu ha loi
垂了下去	qyu li ha qie
垂了下来	qyu li ha loi
垂体	qyu ti
垂体瘤	qyu ti liu
垂倒	qyu dau
垂入	qyu lu
垂到	qyu dau
垂危	qyu wei
垂危之际	qyu wei zi ji
垂发	qyu fai
垂台钩栏	qyu toi gieu lan
垂名竹帛	qyu miang jyu pa
垂名青史	qyu miang qiang si
垂告	qyu gau
垂周分裂	qyu zeu fen lie
垂垂老矣	qyu qyu lau si
垂头	qyu teu
垂头丧气	qyu teu song qi
垂头塌翅	qyu teu ta ci
垂头塞耳	qyu teu se e
垂头铩羽	qyu teu sai yu
垂尾	qyu mi
垂帘	qyu lien
垂帘听决	qyu lien tiang ko
垂帘听政	qyu lien tiang zen
垂带	qyu dai
垂度	qyu tu
垂心	qyu xin
垂念	qyu nien
垂怜	qyu lien
垂成	qyu cen
垂手	qyu seu
垂手可得	qyu seu kie de
垂手帖耳	qyu seu tie e
垂手而得	qyu seu e de
垂扬袅袅	qyu yong lieu lieu
垂拱	qyu gung
垂拱而治	qyu gung e zi
垂挂	qyu gua
垂教	qyu gau
垂暮	qyu mu
垂暮之年	qyu mu zi nien
垂杨	qyu yong
垂杨柳	qyu yong liu
垂枝盆景	qyu zi pen jin
垂柳	qyu liu
垂死	qyu su
垂死挣扎	qyu su zeng zai
垂死者	qyu su jia
垂泣	qyu qi
垂注	qyu jyu
垂泪	qyu li
垂涎	qyu xien
垂涎三尺	qyu xien san qia
垂涎欲滴	qyu xien yu di
垂涕	qyu ti
垂爱	qyu ngoi
垂片	qyu pien
垂盆草	qyu pen cau
垂直	qyu ci
垂直于	qyu ci yu
垂直叠加	qyu ci die ga
垂直地带	qyu ci ti dai
垂直带	qyu ci dai
垂直平分	qyu ci piang fen
垂直性	qyu ci xin
垂直扫描频率	qyu ci sau mieu pin soi
垂直极化	qyu ci ji fa
垂直线	qyu ci xien
垂直绿化	qyu ci liu fa
垂直舵	qyu ci do
垂直角	qyu ci go
垂直起落	qyu ci qi lai
垂直跃迁	qyu ci yue qien
垂直距离	qyu ci jyu li
垂直轴	qyu ci zeu
垂直遮阳	qyu ci jia yong
垂直阻生	qyu ci zu sang
垂直面	qyu ci mien
垂盼	qyu pon
垂着头	qyu qio teu
垂着手	qyu qio seu
垂线	qyu xien
垂老	qyu lau
垂耳下首	qyu e ha seu
垂花	qyu fa
垂花门	qyu fa men
垂范	qyu fan
垂范百世	qyu fan ba si
垂落	qyu lai
垂询	qyu xyun
垂足	qyu zu
垂钓	qyu dieu
垂钓者	qyu dieu jia
垂问	qyu wen
垂青	qyu qiang
垂顾	qyu gu
垂饵虎口	qyu e fu kieu
垂首	qyu seu
垂首丧气	qyu seu song qi
垂首帖耳	qyu seu tie e
垂首贴耳	qyu seu tie e
垂髫	qyu tieu
垃	la
垃圾	la ji
垃圾场	la ji qiong
垃圾堆	la ji dei
垃圾处理	la ji qyu li
垃圾处置	la ji qyu zi
垃圾文件	la ji wen qien
垃圾斗	la ji deu
垃圾桶	la ji teng
垃圾池	la ji ci
垃圾清运	la ji qiang yun
垃圾焚烧	la ji fen seu
垃圾焚烧炉	la ji fen seu lu
垃圾猪	la ji jyu
垃圾猪肉	la ji jyu niu
垃圾站	la ji zan
垃圾筒	la ji teng
垃圾箱	la ji xiong
垃圾股	la ji gu
垃圾虫	la ji qiung
垃圾袋	la ji toi
垃圾词	la ji cu
垃圾车	la ji qia
垃圾道	la ji tau
垃圾邮件	la ji yiu qien
垄	leng
垄亩	leng meu
垄作	leng zo
垄坎	leng kon
垄断	leng ton
垄断价格	leng ton ga gie
垄断利润	leng ton li len
垄断市场	leng ton si qiong
垄断性	leng ton xin
垄断权	leng ton qon
垄断案	leng ton ngon
垄断组织	leng ton zu zi
垄断者	leng ton jia
垄断行业	leng ton hang nie
垄断资产	leng ton zu can
垄断资本	leng ton zu ben
垄断集团	leng ton ji ton
垄沟	leng gieu
垄统	leng teng
垄耕	leng gien
垅	yiung
垆	lu
型	xin
型业务	xin nie wu
型函数	xin hon su
型台	xin toi
型号	xin hau
型基金	xin ji jin
型式	xin si
型录	xin lu
型彩票	xin coi pieu
型态	xin toi
型文法	xin wen fa
型材	xin coi
型板	xin ban
型模	xin mo
型煤	xin mi
型电脑	xin tien lau
型砂	xin sa
型管	xin guon
型腔	xin qiong
型范	xin fan
型谱	xin pu
型钢	xin gong
型领	xin liang
型飞机	xin fi ji
垍	kui
垒	lei
垒上	lei xiong
垒上无人	lei xiong wu nin
垒上有人	lei xiong yiu nin
垒土	lei tu
垒块	lei kuai
垒坝	lei ba
垒墙	lei qiong
垒外	lei ngoi
垒沟	lei gieu
垒球	lei qiu
垒球员	lei qiu yon
垒球场	lei qiu qiong
垒球棒	lei qiu bong
垒球队	lei qiu dei
垒石	lei xia
垒砌	lei qi
垒砖	lei jon
垒窝	lei wo
垓	goi
垓下	goi ha
垛	do
垛口	do kieu
垛子	do zu
垠	jin
垡	fa
垡头	fa teu
垢	kieu
垢弊	kieu bi
垢污	kieu wu
垢泥	kieu ni
垢面蓬头	kieu mien peng teu
垣	yon
垣曲	yon qyu
垣曲县	yon qyu xon
垤	tu
垦	kien
垦丁	kien diang
垦丁公园	kien diang gung yon
垦利	kien li
垦利县	kien li xon
垦区	kien qyu
垦地	kien ti
垦复	kien fu
垦殖	kien zi
垦殖地	kien zi ti
垦殖场	kien zi qiong
垦殖指数	kien zi zi su
垦民	kien min
垦种	kien jiung
垦荒	kien fong
垦荒地	kien fong ti
垦荒者	kien fong jia
垩	ngo
垩粉	ngo fen
垫	tien
垫上去	tien xiong qie
垫上来	tien xiong loi
垫上运动	tien xiong yun teng
垫下	tien ha
垫下去	tien ha qie
垫下来	tien ha loi
垫个	tien go
垫仓板	tien cong ban
垫付	tien fu
垫入	tien lu
垫写	tien xia
垫出	tien qyu
垫出去	tien qyu qie
垫出来	tien qyu loi
垫回	tien fi
垫回去	tien fi qie
垫回来	tien fi loi
垫圈	tien qon
垫块	tien kuai
垫子	tien zu
垫层	tien ceng
垫布	tien bu
垫平	tien piang
垫底	tien di
垫底儿	tien di e
垫座	tien co
垫戏	tien xi
垫支	tien zi
垫支资本	tien zi zu ben
垫料	tien lieu
垫木	tien mu
垫板	tien ban
垫档	tien dong
垫款	tien kuon
垫步	tien pu
垫江	tien gong
垫江县	tien gong xon
垫片	tien pien
垫盘	tien pon
垫着	tien qio
垫纸	tien zi
垫肩	tien jien
垫背	tien bi
垫脚	tien jio
垫脚石	tien jio xia
垫补	tien bu
垫衬	tien cen
垫被	tien pi
垫褥	tien lu
垫过	tien guo
垫过去	tien guo qie
垫过来	tien guo loi
垫钱	tien qien
垫鞋	tien hai
垫高	tien gau
垮	kua
垮下	kua ha
垮下去	kua ha qie
垮下来	kua ha loi
垮台	kua toi
垮向	kua xiong
垮塌	kua ta
垮得	kua de
垮成	kua cen
垮掉	kua die
垲	koi
垸	yon
埂	kien
埂堰	kien yen
埂子	kien zu
埃	ngai
埃个儿	ngai go e
埃亚	ngai nga
埃伊萨	ngai yi sai
埃伏尔	ngai fu ng
埃伦菲尔	ngai len fi ng
埃佩尔曼	ngai pi ng man
埃克	ngai kie
埃克哈德	ngai kie ha de
埃克塞特	ngai kie se te
埃克尔斯	ngai kie ng su
埃克巴	ngai kie ba
埃克斯	ngai kie su
埃克曼	ngai kie man
埃克森	ngai kie sen
埃克特	ngai kie te
埃克脱	ngai kie toi
埃克芳	ngai kie fong
埃克霍夫	ngai kie fo fu
埃兰	ngai lan
埃兹	ngai zu
埃兹沃尔	ngai zu wo ng
埃兹蛋白	ngai zu tan pa
埃内斯	ngai nyu su
埃切维	ngai qie wei
埃利	ngai li
埃利亚	ngai li nga
埃利奇	ngai li qi
埃利奥	ngai li ngau
埃利奥特	ngai li ngau te
埃利尼	ngai li ni
埃利希	ngai li xi
埃利斯	ngai li su
埃利森	ngai li sen
埃利蒂斯	ngai li di su
埃加迪	ngai ga di
埃努古	ngai lu gu
埃勒克	ngai lei kie
埃勒曼	ngai lei man
埃勒格	ngai lei ga
埃华山	ngai fa san
埃南	ngai lang
埃卢亚尔	ngai lu nga ng
埃厄忒斯	ngai ngo kie su
埃及	ngai ji
埃及共和国	ngai ji kung ho gue
埃及内政部	ngai ji nyu zen pu
埃及政府	ngai ji zen fu
埃及文	ngai ji wen
埃及民族民主党	ngai ji min zu min jyu dong
埃及王国	ngai ji wong gue
埃及西奈半岛	ngai ji xi lai bon dau
埃及馆	ngai ji guon
埃可病毒	ngai kie piang tu
埃吉纳	ngai ji la
埃吕司	ngai lyu su
埃因霍	ngai yin fo
埃因霍温	ngai yin fo wen
埃因霍温队	ngai yin fo wen dei
埃塔	ngai ta
埃塞俄比亚	ngai se ngo bi nga
埃塞俄比亚人	ngai se ngo bi nga nin
埃塞俄比亚政府	ngai se ngo bi nga zen fu
埃塞克斯	ngai se kie su
埃塞奎博	ngai se xi bo
埃塞萨	ngai se sai
埃士顿	ngai si den
埃夫伦	ngai fu len
埃奈斯	ngai lai su
埃姆努	ngai mu lu
埃姆斯	ngai mu su
埃姆登	ngai mu deng
埃姆雷	ngai mu lei
埃富蒂	ngai fu di
埃尔一世	ngai ng yi si
埃尔伯	ngai ng be
埃尔兰根	ngai ng lan gien
埃尔切	ngai ng qie
埃尔利	ngai ng li
埃尔加	ngai ng ga
埃尔南	ngai ng lang
埃尔南德斯	ngai ng lang de su
埃尔卡纳	ngai ng ka la
埃尔哈	ngai ng ha
埃尔坎	ngai ng kon
埃尔埃斯	ngai ng ngai su
埃尔基	ngai ng ji
埃尔塔	ngai ng ta
埃尔塞维	ngai ng se wei
埃尔夫	ngai ng fu
埃尔夫斯	ngai ng fu su
埃尔富特	ngai ng fu te
埃尔尼诺	ngai ng ni lo
埃尔巴坎	ngai ng ba kon
埃尔帕索	ngai ng pa so
埃尔德	ngai ng de
埃尔托	ngai ng to
埃尔文	ngai ng wen
埃尔斯	ngai ng su
埃尔斯沃	ngai ng su wo
埃尔斯特	ngai ng su te
埃尔曼	ngai ng man
埃尔朗	ngai ng long
埃尔朗根	ngai ng long gien
埃尔比勒	ngai ng bi lei
埃尔温	ngai ng wen
埃尔湖	ngai ng fu
埃尔盖奈孔	ngai ng goi lai kung
埃尔祖鲁	ngai ng zu lu
埃尔米	ngai ng mi
埃尔维	ngai ng wei
埃尔维斯	ngai ng wei su
埃尔萨	ngai ng sai
埃尔西	ngai ng xi
埃尔通	ngai ng teng
埃尔金	ngai ng jin
埃尔门	ngai ng men
埃尔雅基	ngai ng nga ji
埃尔韦斯	ngai ng wei su
埃尔顿	ngai ng den
埃尔马	ngai ng ma
埃尔默	ngai ng me
埃尔齐亚	ngai ng qi nga
埃尤尔	ngai yiu ng
埃尼克	ngai ni kie
埃居	ngai jyu
埃巴	ngai ba
埃布埃	ngai bu ngai
埃布尔	ngai bu ng
埃布罗	ngai bu lo
埃布罗河	ngai bu lo ho
埃师父	ngai su fu
埃希氏	ngai xi si
埃帕米	ngai pa mi
埃弗拉	ngai bei lai
埃弗森	ngai bei sen
埃弗里	ngai bei li
埃弗顿	ngai bei den
埃弗顿队	ngai bei den dei
埃德	ngai de
埃德伯	ngai de be
埃德加	ngai de ga
埃德尔	ngai de ng
埃德尔曼	ngai de ng man
埃德温	ngai de wen
埃德蒙	ngai de meng
埃德蒙顿	ngai de meng den
埃德赛	ngai de soi
埃扎纳	ngai zai la
埃托	ngai to
埃托利	ngai to li
埃托奥	ngai to ngau
埃拉	ngai lai
埃拉托	ngai lai to
埃拉特	ngai lai te
埃文	ngai wen
埃文基	ngai wen ji
埃文斯	ngai wen su
埃文格	ngai wen ga
埃斯	ngai su
埃斯克	ngai su kie
埃斯卡	ngai su ka
埃斯图	ngai su tu
埃斯基	ngai su ji
埃斯塔	ngai su ta
埃斯塔克	ngai su ta kie
埃斯奎	ngai su xi
埃斯帕	ngai su pa
埃斯库	ngai su ku
埃斯库多	ngai su ku do
埃斯托	ngai su to
埃斯梅	ngai su mi
埃斯梅拉达斯	ngai su mi lai tai su
埃斯波	ngai su bo
埃斯泰尔	ngai su toi ng
埃斯特	ngai su te
埃斯特拉达	ngai su te lai tai
埃斯特角	ngai su te go
埃斯登	ngai su deng
埃斯皮	ngai su pi
埃斯科	ngai su ko
埃斯蒙	ngai su meng
埃斯金	ngai su jin
埃明帕	ngai miang pa
埃普森	ngai pu sen
埃曼纽	ngai man niu
埃朗根	ngai long gien
埃林顿	ngai lin den
埃柯夫	ngai ko fu
埃格伯	ngai ga be
埃格林	ngai ga lin
埃格蒙特	ngai ga meng te
埃森	ngai sen
埃森哲	ngai sen ze
埃法特	ngai fa te
埃波罗	ngai bo lo
埃洛拉	ngai lo lai
埃洛石	ngai lo xia
埃洛贝	ngai lo bi
埃涅阿斯	ngai nie nga su
埃特	ngai te
埃特纳	ngai te la
埃特里	ngai te li
埃米	ngai mi
埃米尔	ngai mi ng
埃索	ngai so
埃纳	ngai la
埃纳河	ngai la ho
埃纳雷斯	ngai la lei su
埃维人	ngai wei nin
埃维塔	ngai wei ta
埃维昂	ngai wei ngong
埃罗	ngai lo
埃罗斯	ngai lo su
埃罗芒	ngai lo mong
埃罗菲	ngai lo fi
埃罗菲斯	ngai lo fi su
埃莉诺	ngai li lo
埃莫森	ngai mo sen
埃莱娜	ngai loi lo
埃莱阿	ngai loi nga
埃菲尔	ngai fi ng
埃菲尔铁塔	ngai fi ng tie ta
埃菲斯	ngai fi su
埃菲特	ngai fi te
埃菲社	ngai fi xia
埃萨拉	ngai sai lai
埃贝尔	ngai bi ng
埃贡	ngai gung
埃赫桑	ngai ho song
埃达	ngai tai
埃达克	ngai tai kie
埃达鲁	ngai tai lu
埃迪尔内	ngai di ng nyu
埃迪沃	ngai di wo
埃里	ngai li
埃里克	ngai li kie
埃里克松	ngai li kie seng
埃里克森	ngai li kie sen
埃里卡特	ngai li ka te
埃里希	ngai li xi
埃里森	ngai li sen
埃里温	ngai li wen
埃雷利	ngai lei li
埃雷拉	ngai lei lai
埃雷特	ngai lei te
埃马兰吉	ngai ma lan ji
埃马努	ngai ma lu
埃鲁	ngai lu
埃默森	ngai me sen
埃默里	ngai me li
埃默里奇	ngai me li qi
埃默顿	ngai me den
埋	mai
埋三怨四	mai san yon su
埋下	mai ha
埋下去	mai ha qie
埋人	mai nin
埋伏	mai fu
埋伏圈	mai fu qon
埋伏牙	mai fu nga
埋入	mai lu
埋单	mai dan
埋名	mai miang
埋名隐姓	mai miang yin xiang
埋地灯	mai ti den
埋声晦迹	mai xiang fi ji
埋天怨地	mai tien yon ti
埋头	mai teu
埋头伏案	mai teu fu ngon
埋头工作	mai teu gung zo
埋头苦干	mai teu ku kon
埋头顾影	mai teu gu yang
埋层	mai ceng
埋布	mai bu
埋得	mai de
埋怨	mai yon
埋怨起来	mai yon qi loi
埋植	mai zi
埋汰	mai toi
埋没	mai me
埋没人才	mai me nin coi
埋没人材	mai me nin coi
埋电缆	mai tien lan
埋线	mai xien
埋置	mai zi
埋葬	mai zong
埋葬地	mai zong ti
埋藏	mai cong
埋藏地	mai cong ti
埋设	mai se
埋起	mai qi
埋起来	mai qi loi
埋轮破柱	mai len po jyu
埋雷	mai lei
埋首	mai seu
埋骨	mai gui
城	cen
城上城	cen xiong cen
城下	cen ha
城下之盟	cen ha zi meng
城下之辱	cen ha zi lu
城东	cen deng
城东乡	cen deng xiong
城东区	cen deng qyu
城东湖	cen deng fu
城东路	cen deng lu
城中	cen jiung
城中区	cen jiung qyu
城中城	cen jiung cen
城中心	cen jiung xin
城中村	cen jiung qyun
城中路	cen jiung lu
城主	cen jyu
城乡	cen xiong
城乡之间	cen xiong zi gan
城乡人民	cen xiong nin min
城乡居民	cen xiong jyu min
城乡差别	cen xiong cai pie
城乡差异	cen xiong cai yi
城乡建设	cen xiong jien se
城乡游	cen xiong yiu
城乡经济	cen xiong jin ji
城乡结合	cen xiong jie ho
城乡规划	cen xiong gui fa
城信	cen xin
城八区	cen bai qyu
城关	cen kuan
城关区	cen kuan qyu
城关镇	cen kuan zen
城内	cen nyu
城北	cen be
城北区	cen be qyu
城北徐公	cen be xyu gung
城区	cen qyu
城区部	cen qyu pu
城南	cen lang
城南区	cen lang qyu
城南庄	cen lang zong
城厢	cen xiong
城厢区	cen xiong qyu
城厢镇	cen xiong zen
城口	cen kieu
城口县	cen kieu xon
城商行	cen xiong hang
城固	cen gu
城固县	cen gu xon
城址	cen zi
城垛	cen do
城垣	cen yon
城域	cen yu
城域网	cen yu mong
城堡	cen bau
城堡石	cen bau xia
城堤	cen di
城墙	cen qiong
城墙根	cen qiong gien
城壕	cen hau
城外	cen ngoi
城外诚	cen ngoi cen
城头	cen teu
城子	cen zu
城子河区	cen zu ho qyu
城寨	cen zai
城工部	cen gung pu
城市	cen si
城市之光	cen si zi guong
城市交通	cen si gau teng
城市信用社	cen si xin yiung xia
城市公交	cen si gung gau
城市公园	cen si gung yon
城市分类	cen si fen lei
城市勘察	cen si kon ca
城市化	cen si fa
城市化村	cen si fa qyun
城市园林	cen si yon lin
城市地图	cen si ti tu
城市地标	cen si ti bieu
城市居民	cen si jyu min
城市布局	cen si bu qiu
城市引力	cen si yin li
城市形态	cen si xin toi
城市形象	cen si xin xiong
城市户口	cen si fu kieu
城市排水	cen si pai xyu
城市改建	cen si goi jien
城市更新	cen si gien xin
城市核心	cen si ho xin
城市气候	cen si qi heu
城市污染	cen si wu len
城市污水	cen si wu xyu
城市热岛	cen si nie dau
城市猎人	cen si lie nin
城市用地	cen si yiung ti
城市管理者	cen si guon li jia
城市组团	cen si zu ton
城市给水	cen si gie xyu
城市绿化	cen si liu fa
城市绿地	cen si liu ti
城市美学	cen si mi ho
城市群	cen si qyun
城市职能	cen si zi len
城市蔓生	cen si man sang
城市规划	cen si gui fa
城市论坛	cen si len tan
城市贫民	cen si pin min
城市轨道	cen si gui tau
城市辐集	cen si fu ji
城市边缘	cen si bien yon
城市选址	cen si xon zi
城市道路	cen si tau lu
城市防洪	cen si fong feng
城市防灾	cen si fong zoi
城市集群	cen si ji qyun
城市雕塑	cen si dieu so
城府	cen fu
城府甚深	cen fu sen sen
城建	cen jien
城建局	cen jien qiu
城建监察	cen jien gan ca
城建税	cen jien xyu
城影院	cen yang yon
城旦	cen tan
城标	cen bieu
城根	cen gien
城楼	cen leu
城步	cen pu
城步苗族自治县	cen pu mieu zu cu zi xon
城池	cen ci
城河	cen ho
城狐社鼠	cen fu xia xyu
城献	cen xien
城砖	cen jon
城管	cen guon
城管办	cen guon pan
城管局	cen guon qiu
城西	cen xi
城西乡	cen xi xiong
城西区	cen xi qyu
城西湖	cen xi fu
城调队	cen tieu dei
城轨	cen gui
城运会	cen yun fi
城近郊区	cen qin gau qyu
城邑	cen yi
城邦	cen bong
城郊	cen gau
城郊乡	cen gau xiong
城郊区	cen gau qyu
城郊型	cen gau xin
城郭	cen guo
城里	cen li
城里人	cen li nin
城铁	cen tie
城镇	cen zen
城镇人口	cen zen nin kieu
城镇化	cen zen fa
城镇化率	cen zen fa soi
城镇居民	cen zen jyu min
城镇群	cen zen qyun
城镇职工	cen zen zi gung
城门	cen men
城门口	cen men kieu
城门失火	cen men si fo
城门洞	cen men teng
城门立雪	cen men li xie
城门鱼殃	cen men nyu yong
城阙	cen fa
城防	cen fong
城防工事	cen fong gung su
城阳区	cen yong qyu
城际	cen ji
城际通	cen ji teng
城陵矶	cen lin ji
城隅	cen yu
城隍	cen fong
城隍庙	cen fong mieu
城隍爷	cen fong ya
城隍阁	cen fong go
城雕	cen dieu
埏	yen
埒	lie
埒才角妙	lie coi go mieu
埒材角妙	lie coi go mieu
埘	si
埙	xon
埙篪相和	xon ci xiong ho
埚	wo
埝	nien
域	yu
域分	yu fen
域名	yu miang
域名服务	yu miang fu wu
域名空间	yu miang kung gan
域名经济	yu miang jin ji
域名解析	yu miang gai xi
域外	yu ngoi
域性	yu xin
域扩张	yu kue jiong
域控制器	yu kung zi qi
域民	yu min
域特征数	yu te zen su
域的复合	yu de fu ho
域论	yu len
埠	pu
埠头	pu teu
埭	toi
埯	yen
埴	zi
埸	yi
培	pi
培优	pi yiu
培修	pi xiu
培元	pi yon
培元固本	pi yon gu ben
培养	pi yong
培养人才	pi yong nin coi
培养出来	pi yong qyu loi
培养后代	pi yong heu toi
培养基	pi yong ji
培养对象	pi yong dei xiong
培养感情	pi yong gong qin
培养教育	pi yong gau yiu
培养料	pi yong lieu
培养液	pi yong ye
培养皿	pi yong min
培养目标	pi yong mu bieu
培养箱	pi yong xiong
培养能力	pi yong len li
培养费	pi yong fi
培华	pi fa
培土	pi tu
培基	pi ji
培基语言	pi ji nyu nien
培尔	pi ng
培根	pi gien
培植	pi zi
培植亲信	pi zi qiang xin
培植出	pi zi qyu
培罗蒙	pi lo meng
培育	pi yiu
培育出	pi yiu qyu
培育法	pi yiu fa
培英	pi yin
培训	pi xun
培训中心	pi xun jiung xin
培训基地	pi xun ji ti
培训师	pi xun su
培训成人	pi xun cen nin
培训教材	pi xun gau coi
培训期	pi xun qi
培训班	pi xun ban
培训网	pi xun mong
培训者	pi xun jia
培训论坛	pi xun len tan
培训评估	pi xun pin gu
培训费	pi xun fi
培训资料	pi xun zu lieu
培训部	pi xun pu
基	ji
基丁	ji diang
基业	ji nie
基丹	ji dan
基于	ji yu
基亚	ji nga
基亚岛	ji nga dau
基什	ji xia
基价	ji ga
基伍	ji ng
基伍湖	ji ng fu
基伦	ji len
基伯	ji be
基体	ji ti
基体干扰	ji ti kon leu
基体效应	ji ti hau yin
基佛	ji fo
基作用	ji zo yiung
基元	ji yon
基元电荷	ji yon tien ho
基兰	ji lan
基兴	ji xin
基准	ji jyun
基准价	ji jyun ga
基准值	ji jyun zi
基准兵	ji jyun bin
基准利率	ji jyun li soi
基准日	ji jyun ni
基准点	ji jyun dien
基准线	ji jyun xien
基准网络	ji jyun mong lo
基准面	ji jyun mien
基切	ji qie
基利	ji li
基加	ji ga
基加利	ji ga li
基勒	ji lei
基化	ji fa
基区	ji qyu
基南	ji lang
基博	ji bo
基卢瓦岛	ji lu nga dau
基右矢	ji yiu si
基合金	ji ho jin
基哥	ji ko
基因	ji yin
基因丰余	ji yin feng yu
基因产业	ji yin can nie
基因修饰	ji yin xiu si
基因剔出	ji yin ti qyu
基因功能	ji yin gung len
基因图	ji yin tu
基因图谱	ji yin tu pu
基因型	ji yin xin
基因士兵	ji yin si bin
基因学	ji yin ho
基因工程	ji yin gung cen
基因库	ji yin ku
基因座	ji yin co
基因战士	ji yin zan si
基因打靶	ji yin da ba
基因指纹	ji yin zi wen
基因文库	ji yin wen ku
基因枪	ji yin qiong
基因毒性	ji yin tu xin
基因治疗	ji yin zi lieu
基因流	ji yin liu
基因源	ji yin yon
基因突变	ji yin tu bien
基因簇	ji yin cu
基因线	ji yin xien
基因组	ji yin zu
基因组学	ji yin zu ho
基因组研究	ji yin zu nien jiu
基因芯片	ji yin xin pien
基因连锁	ji yin lien so
基团	ji ton
基团频率	ji ton pin soi
基地	ji ti
基地化	ji ti fa
基地网	ji ti mong
基址	ji zi
基坑	ji kang
基型	ji xin
基多	ji do
基央	ji yong
基奥	ji ngau
基姆	ji mu
基尔	ji ng
