㔶	kong
一十八位	yi si bai wei
一十八名	yi si bai miang
一十八天	yi si bai tien
一十八岁	yi si bai xi
一十八年	yi si bai nien
一十八手	yi si bai seu
一十八日	yi si bai ni
一十八架	yi si bai ga
一十八次	yi si bai cu
一十六	yi si liu
一十六下	yi si liu ha
一十六名	yi si liu miang
一十六员	yi si liu yon
一十六岁	yi si liu xi
一十六年	yi si liu nien
一十六招	yi si liu zeu
一十六枚	yi si liu mi
一十员	yi si yon
一十四个	yi si su go
一十四员	yi si su yon
一十四年	yi si su nien
一十四遍	yi si su pien
一千	yi qien
一千一万	yi qien yi wan
一千一万个	yi qien yi wan go
一千一百	yi qien yi ba
一千一百一十一个	yi qien yi ba yi si yi go
一千一百万	yi qien yi ba wan
一千一百万元	yi qien yi ba wan yon
一千一百万吨	yi qien yi ba wan den
一千一百八十	yi qien yi ba bai si
一千一百里	yi qien yi ba li
一千七百	yi qien qi ba
一千万	yi qien wan
一千万两	yi qien wan yong
一千万元	yi qien wan yon
一千万年	yi qien wan nien
一千万斤	yi qien wan jin
一千万镑	yi qien wan bong
一千三四百	yi qien san su ba
一千三百	yi qien san ba
一千三百一十九处	yi qien san ba yi si jiu qyu
